commited couples

1. guy's name : lexhmgcsfh      girl's name: vymetegaxg
gifts are 
1 value: 5,  price: 118, type: instance
2 value: 8,  price: 118, type: instance
3 value: 2,  price: 118, type: instance
4 value: 8,  price: 118, type: instance
5 value: 1,  price: 118, type: instance

2. guy's name : ierlaywpta      girl's name: iwiaumgeiw
gifts are 
1 value: 9,  price: 30, type: instance
2 value: 8,  price: 30, type: instance
3 value: 1,  price: 30, type: instance
4 value: 6,  price: 30, type: instance
5 value: 4,  price: 30, type: instance
6 value: 2,  price: 30, type: instance
7 value: 5,  price: 30, type: instance
8 value: 0,  price: 30, type: instance
9 value: 0,  price: 30, type: instance
10 value: 0,  price: 38, type: instance
11 value: 9,  price: 38, type: instance
12 value: 9,  price: 38, type: instance
13 value: 2,  price: 38, type: instance
14 value: 0,  price: 46, type: instance
15 value: 1,  price: 46, type: instance
16 value: 8,  price: 46, type: instance
17 value: 6,  price: 54, type: instance
18 value: 5,  price: 54, type: instance
19 value: 0,  price: 62, type: instance

3. guy's name : wfpamtwsjx      girl's name: aksffqhvpr
gifts are 
1 value: 5,  price: 30, type: instance
2 value: 0,  price: 30, type: instance
3 value: 0,  price: 30, type: instance
4 value: 2,  price: 30, type: instance
5 value: 4,  price: 38, type: instance
6 value: 5,  price: 38, type: instance
7 value: 8,  price: 38, type: instance
8 value: 8,  price: 38, type: instance

4. guy's name : zgcettwzvq      girl's name: webrpvomcc
gifts are 
1 value: 9,  price: 30, type: instance
2 value: 0,  price: 30, type: instance
3 value: 6,  price: 30, type: instance
4 value: 0,  price: 30, type: instance
5 value: 7,  price: 30, type: instance

5. guy's name : maeahgsppr      girl's name: ytailkqirf
gifts are 
1 value: 3,  price: 118, type: instance
2 value: 8,  price: 118, type: instance
3 value: 2,  price: 110, type: instance

